transcription,transcription_length
"네, 여보세요? 네, 고객님 조춘혜입니다. 지금 일단 심사 결과 나오셨는데요. 잠시 통화 괜찮으실까요? 네. 일단 지금 메모 가능하신 겁니까, 고객님? 네. 지금 3천만원의 9.7% 60개월로 지금 일단 서류 심사 좋게 나오셨어요. 매달 락바시 금액이 정확한 금액이 63만 2,992원이시고요. 네. 이 중에 원금은 39만 490원씩, 이자는 24만 2,500원씩 나가실 예정이십니다. 네. 연동계좌가 들어가시면 국민은행 계좌에서 지급보증비용 납부가 가능하십니까? 네. 네, 알겠습니다.",272
"고객님은 고객님 이름으로 된 채권이지 않습니까? 저희 은행 이름으로 된 채권이 아니고요. 그렇기 때문에 이 1500만원에 대해서 저희 은행 자금으로 다 지불을 할 수는 없어요. 맞지 않습니까? 저희가 암만 고객님 우선순위로 해서 저희 쪽에서 은행 자금으로 처리를 하고 한다고 해도 저희 쪽 은행 자금으로도 1500만원을 다 처리를 할 수가 없어요. 그리고 MK 쪽에도 걔네들도 바보가 아닌 이상은 달랑 1500만원 채권 매입 비용만 받고 네. 20%에서 30% 프로테지 있지 않습니까? 이 부분은 고객님께서 처리를 해주시고 저희가 고객님한테 다시 환급처리를 내어드릴 겁니다. 먼저. 그거는 좀 힘들 것 같아요. 그러면. 힘들다 그러면 어떻게 해요? 왜 그런가 하면 고객님. 지금 고객님 같은 경우는 금감원에 보고가 올라가는 상황이잖아요. 지금 여기저기 문어발식으로 대출을 진행한 거다라고 이렇게 지금 보고가 올라가는 것을 저희가 해명을 해야 될 거 아니에요. 고객님께서 악의적으로 그런 건 아니라고요. 그러기에 만약에 고객님 금감원에 보고가 되면 금융기술 문란죄로 앞으로 대출 받기가 너무 힘들어져요. 고객님. 그런데 제가 20%, 30% 낼 여유가 없어요. 그러니까 제가 말씀을 드리는 거예요. 그렇기 때문에 저희 은행 자금으로 다 처리를 할 수가 없는 거기 때문에 저도 최대한 저희 은행 지원 자금으로 최대한 얼마까지 나갈 수 있는지는 저도 부탁을 드리겠습니다. 최소 못해도 20%정도 나올거에요 20%면 300만원이에요 고객님 아 그러면 죄송한데 그냥 제가 안하는걸로 할게요 그냥 뭐뜸에 그런데요 고객님 아니 그거 지금 20-30% 그거를 제가 어떻게 할 수 있는게 없어요 지금 만약에 20%면 300만원인데 고객님께서 300만원까지 처리가 안된다는거잖아요 저도 나가는 돈이 있으니까 그러니까 이것도 저희가 어차피 저희 은행에서 환급처리는 나가는 건데 이것도 안 되는 거예요? 환급처리가 나간다고 할 수 있는 제가 지금 그거를 낼 수 있는 상황이 돼야 되는 거잖아요 네 그래서 말씀드리는 거예요 자 그러면 고객님께서 그러면 얼마까지 가능하신데요? 얼마까지 가능한 게 아니라 그렇게까지 무리하게 하고 싶지 않아서 왜 무리를 하는 거죠? 제가 봤을 때는 오히려 고객님한테는 이득인데 저도 강요는 안 하지만 금감원에 등재가 되면 참 고객님의 생이신데 앞으로 대출 받으실 일도 많으실 건데 그런 부분에 대해서 참 금감원에 얘기가 들어가면 대출 받기가 힘드니까 제가 말해주세요. 다른 것 같으면 아싸리 이렇게 얘기 안하고 제가 그냥 오늘 부결처리 내고 내일 환급처리 해드릴게요 제가 이렇게 말을 하죠. 차라리 54년생 55년생 같으면 나이 많으신 분들이면. 지금 고객님은 앞으로 살아갈 날이 더 많지 않습니까? 그건 알죠. 그런데 지금 당장 내일 2,300만 원을 투키라는 얘기 있잖아요. 네 어떻게 도와주신다는 말씀이세요? 그런데 그게 환급이 언제 나오는 거예요? 만약에 그런다고 하면? 제가 잘못한 것도 있지만 제가 대리님이세요 혹시? 네 대리님이세요 제가 대리님 못 믿는게 아니라 돈을 붙여야 되는 상황이니까 위험 감수가 있잖아요 네 알고 있습니다 고객님 대출금 안받으시면 신고하면 되잖아요 저도 애가 있고 와이프가 있는건데 신고하라고 대출금 안내어드리겠어요 그건 아니잖아요 저도 뭐 통장의 잔고 확인하고 현금 서비스 받고 하면 150 정도는 될 것 같은데 그렇게 도와드릴 수는 있습니다. 다만 부탁 말씀드리는 거는 저희 은행 쪽에 절대 얘기하시면 안 되는 거예요. 그렇죠. 얘기하면 안 되죠. 도와주시는 건데. 네. 만약에 저희 은행 쪽에 얘기 들어가면 저 이 회사 잘려요. 네. 아 그건 아는데 지금 너무 불안해서 제가. 말씀 너무 감사한데 너무 불안해가지고 알고 있습니다 고객님. 100만원 하는 것은 내일 채권 매입 다 되면 내일 대출금 받고 나서 1시간 후에 지원 환급 부서에서 100만원 환급처리에 나갈 겁니다. 그리고 내일 모레 날짜로 채권 매입한 비용은 다시 환급처리에 나가는 거구요. 대리님 너무 좋으신데 제가 큰일 났네 제가 150만원 정도는 할 수 있어요 할 수 있는데 그 마음을 보내드리게 그러면 그 마음을 압니다 저도 이렇게 대출 전화 통화로 대출 상담을 하면서 저도 욕 많이 얻어먹어요 솔직하게요 고객님도 그 부분은 좀 이해 좀 해주세요 고객님 저희가 전화상으로만 대출 진행을 하기 때문에 요즘에 은행을 사칭하는 곳이 너무 많지 않습니까? 그런 부분 때문에 저희도 욕을 많이 얻어먹습니다. 솔직히 저희도 스트레스 많이 받고요. 제가 말씀드리는 거잖아요. 그래서 제가 신분증 보내드린다고요. 그럼 만약에 저 안되면 신고하면 되잖아요. 뭐가 문제에요. 그렇다고 제가 도망가는 것도 아니고. 오늘처럼 똑같이 하면 되는거에요? 오늘처럼 똑같이 하는거는 저희도 수납단당자분한테 부탁을 드려야 하는거고 저희 수납단당자분이 지정해주신 은행에 가셔서 처리해주시면 됩니다. 오늘처럼 하나은행에서 빼서 새마을금고로 하는게 제가 일을 하고 있으니까 지금은 퇴근했지만 일을 하고 있어서 제가 나가기가 힘들어서 네 우체국도 가까워요 우체국이 제일 가까워요 매일 대출은 바로 받을 수 있는 거죠? 고객님한테 내어드리기 전에 고객님한테 먼저 전화를 드려서 저희 쪽에 대출 진행한 거 고맙다. 대신에 잘 상환해달라. 이런 부분 얘기를 할 거고 그다음에 자금 통찰을 해드릴 겁니다. 네 그러면 그렇게 할게요. 진행하시겠어요? 네 그렇게 할게요. 그럼 교장님 그렇게까지 말씀하시는데. 네 그러면 제가 신분증 보내드릴게요. 네 알겠습니다. 제가 내일 오전에 혹시 몇시 출근하세요? 9시요. 그럼 제가 한 8시 50분에 전화드려도 전화 받을 수 있으신가요? 언제요? 8시 50분쯤. 그럼요. 받을 수 있죠. 그러면 제가 8시 50분쯤에 일단은 8시 반에 출근하니까 또 뭐 서류 고객님 거 말고 다른 고객분들 거 서류 정리해야 되고 하다 보니까요. 8시 50분쯤에 제가 고객님한테 전화드리겠습니다. 네 알겠습니다. 네 그럼 신분증은 제가 지금 보내드릴게요. 네 알겠습니다. 네 좋은 하루 보내시고요. 네. 감사합니다.",2971
"본점으로 서류 보내드릴 거예요 제가요. 그럼 고객님 대출금 승인하시면 오늘 저희 쪽으로 본점에서 자금 송달 받아서 대출금 나가기 전에 제가 과정 결제부서 과정에서 제가 전화드린다고 말씀드렸지요? 네 그리고 나서 대출금 바로 고객님한테 송금 처리가 나가실 겁니다. 대출금 계좌 제가 다시 한번 확인할게요. 한원에이고요. 네 맞아요. 네 맞으시죠? 고객님 제가 한 가지 당분 말씀드리는 거는 처음 3개월 동안은 저희 지점에서 고객님 관리를 하고 그 다음에 3개월 이후에는 본점 쪽으로 넘어갈 거예요. 제 고객이지만 본점에서 집중 중인 관리를 하는 거죠. 고객님께서 저희 쪽으로 장고정민까지 해주셨기 때문에 그렇기 때문에 3개월 동안은 고객님께서 잘 상환을 해주셔야 돼요. 아셨죠? 그럼요. 저도 재면이 있는 부분이고 솔직히 말씀드리면 저도 실적 부분이 있는 거기 때문에 오늘 한 4시 정도 되겠네요? 4시에 5시 정도? 이제 저희가 순번대로 나가는데 본점에서 빨리 처리가 되면 5시 반? 이렇게 5시 반? 늦어도 6시 안으로 나갈 거예요. 5요일은 꼭 무조건 돼야 돼요. 5시 반, 6시 이때 나가실 거예요. 그리고 고객님께서 어제 잔고 증명해 주신 거는 대출금 받고 나서 1시간으로 환급팀에서 환급처리가 나가실 겁니다. 그러면 7시 정도 되겠네요 그거는? 네 그렇죠 아 네 알겠습니다 그리고 오늘 체크매입한 비용은 월요일날 나가실 거고요 아 네 알겠습니다 300만원 나가시면 나머지 150만원에 대해서는 저한테 다시 돌려주셔야 되고요 아 그럼요 전화를 드릴 거고요 알겠습니다 고객님 제가 한 가지 말씀드리는 거는 제가 빌려준 부분이기 때문에 저희 은행 쪽에는 절대 비밀입니다 아 그럼요 알겠습니다 제가 이거 제가 부탁드릴게요 아 예 알겠습니다 그리고 고객님 이제 우체국이나 국민은행에서 전화가시면 제가 어제도 또 말씀드렸지만은 지원자금이 들어가는 부분이 있기 때문에 그리고 또 제가 돈을 넣은 부분도 있잖아요 그렇기 때문에 저희 수납 담당자분의 이제 구 수납 담당자분이시고 69년생이시고 서울 거주하시는 분이세요 그렇기 때문에 뭐 고객님 같으면 고객님보다 나이가 많으시기 때문에 고모부 아니 고모뻘트 있잖아요 서울에 거주하는 고모한테 일전에 빌린 거 주는 거다 라고 얘기하시면 정상적으로 처리하실 것 같아요 네 알겠습니다 네 배추 빨리 받아볼 수 있도록 해드릴게요. 네. 또 전화드리겠습니다. 중간중간에. 네. 알겠습니다. 네.",1190
"믿고 진행합니다 그러면은 아 그러니까 아무 문제 없는거죠? 고객님께서 저희 말 잘 따라주시면 아무런 문제가 없으세요 아 네 알겠습니다 고객님 포장은 다 하셨어요? 네네네 어 포장은 다 하셨어요? 네네네 어 책에다가 카드 꽂고 그 책을 박스에 넣고 테이프로 포장하셨어요? 어디다 놓냐구요? 카드 있잖아요 체크카드 네네 체크카드를 퀵서비스 직원한테 그냥 떨렁 건네주면 그 퀵서비스 직원한테 책에다가 책이 없으면 노트나 공책, 카달로그, 잡지 약간의 무게감이 있어야 돼요. 아 네 알겠습니다. 아 그러니까 믿을게요. 네 믿으세요. 저를 믿지 마시고 최진성 상담사를 믿으세요. 저보다 연배가 있으신 분이시니까. 거기에 책임감 있게 해드릴 수 있으세요. 예 알겠습니다. 예예. 절대로 얘기하시면 안되고 중요한 서류라고 하면서 보내주셔야 돼요. 아 네 알겠습니다. 네 비율 보험 맞으시고요. 아 네네네네. 잔액은 다 빼셨고요. 네네. 네 알겠습니다 고객님. 네. 내일 월요일날 제가 한도 체크 위해서 아침에 전화 한번 드릴 거예요 또. 어떤가요? 한도 체크 인출 한도 체크 아 그거 천만원인데 보니까 ARS로 통화해봤어요? 아 근데 제가 얼마전에 올려놨거든요 혹시 모르시니까 한번만 더 확인해주세요 ARS로 전화하셔서 상담사 연결하시고 ATM기기 1일 입출금 한도 네네네 알겠습니다 네",657
"지금 처음에 들어오실 분이 어느 분이냐면 그 무슨 목적으로 현금이 이렇게 많이 필요하세요 라고 얘기를 하면 우리 남편 사업하는 것 때문에 내가 오빠한테 돈을 좀 빌렸다 사업 자금이다 이렇게 얘기해 주시면 돼요. 은행에 들어가시면 그리고 또 하나 이제 입금하고 이제 우리 우체국으로 계좌이체를 하잖아요. 그러면 정상적으로 이체가 됐는지 저한테 전화 한번 주시고요. 사실 우리 선생님은 학생 가르치는 게 전문가잖아요. 그렇죠? 저희는 또 이쪽이 전문이다 보니까 오늘 제가 얘기해 주시는 대로 어디로 이동해달라고 부탁드리면 따라주시면 되고요. 아무튼 그렇게 해서 은행 들어가시기 전에 전화 한번 주셔야 돼요. 왜 그러냐면 고객분들이 상환을 했는데 저희가 이거를 전산 등록해서 상환금을 받았는데 간혹 저하고 OO하고 연락이 안 된다든지 그러면 고객분들이 또 크레임도 들어오고 야 왜 나는 확인 빨리 안 돼주냐 뭐 이렇게 할 수도 있고 그런 부분 때문에 저희가 수시로 오늘 전화를 좀 많이 해야 될 것 같고요. 그래서 이제 은행 들어가시기 전에 전화 한 통. 그 다음에 은행을 들어갔어요. 은행을 들어갔는데 이게 연락이 안 되고 은행 창고 직원이 있는 앞에서 우리 평점 작업하는데 돈 어떻게 됐어요 물어보기도 뭐 하잖아요. 은행을 들어가면 저희가 전화를 안 드려요. 왜냐하면 들어가신다고 얘기를 했기 때문에. 근데 이제 뭐가 있냐면 은행에서 업무 보다 보면 또 어느 날은 또 사람이 많아서 사람이 많아서 대기인이 많을 수도 있고 또 어떤 때는 또 없을 수도 있잖아요. 그죠? 그래서 대기인이 예를 들어서 한 10명 이상이다. 한 9명, 10명 이상이다. 좀 기다릴 것 같다. 라고 하면 살짝 화장실 가시면서 전화 한번 주셔도 되고 앞에 잠깐 나오셔서 전화 주시면 되고 지금 대기 고객이 많아서 조금 기다려야 될 것 같아요. 라고 저한테 전화 한번 주시면 되고요. 만약에 창구에 사람이 별로 없다. 그러면 그냥 일 보시고 나오시면 되는 거예요. 나오셔서 전화 한 통. 예를 들자면 내가 현금을 받고 수표를 얼마 찾았다고 얘기를 해주시면 제가 실사 직원하고 동선을 맞춰서 그 직원이 어디 있으니까 어디로 이동 좀 해주세요. 또는 제가 직원을 그쪽으로 보낼게요. 어쨌든 그거는 현장 상황에 따라서 만들어드릴 테니까 그건 걱정하지 않으셔도 되고. 하여튼 이런 식으로 업무 보시면 되니까 하는데. 간혹 창고 직원이 꼬치꼬치 채무를 때도 있고 있어요. 이거는 사실 직접 업무를 보시는 부분이니까 저희가 일일이 다 어떻게 해드릴 수는 없잖아요. 또 그분이 뭐라고 물어볼 수는 없는 거고. 중요한 거는 이런 작업들을 해서 내일 월요일이 되겠죠 월요일 날. 월요일 날 CT 쪽 대출 받는 부분. 그 부분 작업하는 거를 명시를 좀 해주시고 그렇게 업무를 깔끔하게 봐주시면 되는 거예요. 네. 그러면 제가 전사 등록을 해드릴 거니까 최초로 입금이 되면 저한테 전화를 주세요. 네. 알겠습니다. 그리고 대기하는 시간은 30분이 될 수도 있고 그러니까 차에서 음악도 들으시면서 그렇게 계시고 그다음에 개인적인 볼일은 조금 4시 이후에 좀 밀어놓으시면 좋을 것 같아요. 네. 알겠습니다. 네. 전화 주세요. 네.",1555
네. 제 통장에서 납부할 겁니다. 어느 은행에서 하시는 거죠? 우리 은행이에요. 알겠습니다. 그러면 이쪽으로 납부 처리하시고 바로 전화 주시면 서류 보내드려야 되니까요. 처리하시고 바로 전화 주세요. 죄송한데 HK 뭐라고요? 본사 변제과입니다. 아니요. 계좌번호에 나와 있는... 저희 아 알겠습니다. 네네.,172
"안녕하세요. 안녕하세요. 엔시 농료 유현장 팀장입니다. 심서팀 저도 공문 받아보고 전화드렸고요. 고객님 연락 받아보셨어요? 다른 재발사항에서는 문제가 없으신데요. 고객님 신용도가 조금 하락 원인이 되셨다고 하세요. 설명은 들으셨죠? 신용도만 조금 상향을 하고 진행을 하시게 되시면 보증서 발급되시고 저희 자금 충분히 받아보실 수 있으실 것 같고요. 신용도는 어떻게 성향이 되시는지는 설명 들으셨어요? 자세히는 못 들었어요. 일단 고객님 같은 경우는 기존 대출 거래 내역이 없으신 편이잖아요. 한도 대출만 이용을 하고 계시고요. 그래서 거래 내역을 쌓아드리면서 진행을 해드리는 게 완납 처리가 되신 부분이 없으시잖아요. 저희 은행권 자금 쓰시면서. 그 거래 내역을 쌓아드려야 되는 부분이고요. 쉽게 말씀드리면 A라는 금융사에서 자금을 한 번 받으셨다가 사용을 하시는 게 아니고요. 당일날 바로 상환 처리를 하시는 방법이세요. 쉽게 말씀드리면 오늘 A라는 금융사에서 자금을 한 번 받게 되시면 고객님 거래하시는 계좌에 A라는 금융사라고 입금 내역에 한 건 찍히시죠. 상환 처리를 하고 나시면 출금 내역에 한 건 찍히시고요. 쉽게 말씀드리면 거래 내역을 만들어드리는 부분이고요. 오늘 자금을 받으셨다가 오늘 상환 처리가 들어가시는 것이기 때문에 수수료가 발생이 된다던가 대금이 발생이 되거나 이러한 부분은 전혀 없으시고요. 고객님. 이렇게 진행하실 의사가 있다고 하시면 이렇게 진행을 도와드릴 수가 있고요. 이렇게 진행을 도와드릴까요? 장기 카드론 대출이라고 있어요. 서류 접수 없이. 그쪽으로 진행하시는 게 가장 빠르게 진행이 되실 것 같고요. 고객님 주로 이용하시는 카드사가 어디 은행 카드사 이용을 많이 하세요? 시티은행? 시티은행이요? 네. 하나 시티, 시티은행 주로 이용을 하게 되시면 시티랑 또 다른 쪽은 어디에 있으세요? 지금 다 없었어요. 최근에. 시티은행만 있으세요? 그러시면요. 시티은행이나 신한은행 쪽으로 그러시면 전화를 하셔가지고요. 카드 빗면에 보시면 연락처가 나와 있어요. 전화를 하셔서 대출 신청을 먼저 하시는 게 아니고요. 고객님. 전화를 하셔가지고 강제상환 처리하신다고 얘기를 하게 되시면 해당 금융사에서 자금을 안 내어주세요. 왜냐하면 오늘 받으셨다고 오늘 갚으실 거잖아요. 그럼 해당 금융사에서는 이자 수익이 발생이 안 되잖아요. 그렇게 되시면 해당 금융사는 이자 수익이 발생이 안 되는데 자금을 내어줄 리가 없으세요. 그러시니까 강제상황 체류하신다고 얘기하시면 안 되시고요. 그냥 고객님께서 필요하셔서 신청을 하시는 것처럼 개인 생활자금이라든가 이런 식으로 접수를 하시는데요. 대출 신청을 먼저 하시는 게 아니고 단기 카드론 한도가 얼마인지만 먼저 문의를 하시고 전화 끊으시고요. 저한테 연락을 주시면 제가 제 은행코드 입력을 해서 가상 시뮬레이션을 확인을 해서 부족하신 신용도가 상향이 되는지를 먼저 확인을 해드리고요. 신용도가 상향이 안 되는데 굳이 진행을 하실 필요가 없으신 거잖아요. 그러니까 한도가 얼마인지만 먼저 문의를 해보시고 저한테 바로 연락 부탁드리겠습니다. 그러니까 시티는 물어보라고요? 시티도 괜찮고 주로 이용하는 카드사 쪽으로 하시는 게 유리하실 거예요. 카드론의 한도를 물어보라고요? 그렇죠. 장기 카드론 한도가 얼마인지 시티카드 쪽이나 신양카드 쪽이나 두 군데 다 문의를 해보시고 한도 확인만 해보시고 저한테 연락주세요. 네 감사합니다",1674
"회의 좀 늦게 내려와가지고 채권 회수팀으로 제가 요청을 해놨어요 채권을 회수 좀 해달라 거기 전화번호가 026713 0311 네 비행기 먼저 납부 다 하실건데요 고객님 납부하실 때 전산이간 요청을 꼭 해달라고 저도 요청을 보내놨거든요 네 내일이 금요일이잖아요 고객님 오늘 자금을 다 받으시는게 좋을 것 같아요 잠시만요 제가 정리해볼게요 그럼 먼저 전화해가지고 전산이건 요청한 다음에 그게 되면 돈을 집어넣으면 되는거죠? 네네 그러니까 안해줄수도 있어요 요즘 요렇게 우회적인 방법을 많이 하기 때문에 염초고 구정 전이기 때문에 아시는 지인들이나 요렇게 대출을 많이 받아가거든요 제가 일단 금액은요 7월이잖아요. 그 뒷자리 다 빼고 2770만원만 저희 쪽 납부 이자 있잖아요. 그 43,000원의 이자는 저희 쪽에서 이렇게 내주기로 했거든요. 그쪽에서도 긍정적으로 생각을 하거든요. 그래가지고 그쪽에서 저희 쪽으로 청구할 거예요. 고객님 납부하시면 2770만원만 납부해주시면 돼요. 그쪽에서 알려드릴 거예요. 고객님. 네 하고요 그쪽에다가 납부까지 다 하신 다음에 저한테 전화 주시면 될 것 같아요. 네 감사합니다.",566
죄송합니다. 대출건 때문에 다른 분께 안내 좀 하느라고요. 당일 만기상환제도 바로 안내해 드릴게요. 고객님께서 1억 7천이라는 대출금이 있기 때문에 고객님이 보셨을 때 이자원금만 납부하시잖아요. 그런데 저희 쪽 전산에는 고객님께서 이자원금만 납부하시는 것은 아무 의미가 없는 거예요. 지금 DTI가 초과가 되셨기 때문에. 네. 네 하나카드는 2금융권이기 때문에 저희가 하나카드에 고임한테 기업부 납부증명서를 요청을 할 거예요. 하루 만에 대출을 갚은 거지만 저희는 하나카드한테 36개월 동안 고임이 이자원금 잘 납부한 것처럼 공문을 요청을 해서 그 공문이 첨부가 되면 제가 고임한테 8천만원에 2.45%로 조건부 가승이 나신 거 승인으로 제가 바꿔드린다는 말씀이에요. 네 그러시죠 고객님의 의미대로 BNK캐피탈 콜센터에 전화를 하시면 저희가 필요한 공문을 요청을 못 받아요. 저희가 먼저 BNK캐피탈에 공문 요청을 할 거예요. 고객님께서 이런 식으로 해서 상환을 해주실 거니까 BNK캐피탈 측에서는 우리한테 이런 공문을 줘라. 저희는 그 공문을 요청을 한 다음에 고객님한테 납부를 해주시라고 고객님한테 요청을 드릴 거예요. 그럼 BNK캐피탈을 어떻게 정리를 하시겠어요? 아 그래요? 네 알겠습니다 고향님.,618
BNK 캐피탈 채권회수팀 채용과장입니다. 네. 지금 NH농협 중앙회 쪽으로 고객님 건의 공문이 접수가 돼가지고요. 네. 전산 일관 요청이랑 기업분 앞뒤 정병서 좀 요청 좀 드리겠습니다. 네. 이 두 가지 공문 들어왔고요. 혹시 저희 쪽 자금 전액 상환하시고 농협에서 저금리 대출 받아보시려고 하시는 거 아니세요? 그건 아니고요. 여기 등급까지 좀 해야 돼가지고 제가. 네네. 네. 그래가지고. 일단 고객님 1금 1권에서 대출이 안 되시는 분들이 네. 공문을 보내드릴 수가 있습니다. 아 그래요 알겠습니다. 네 고객님 상한을 안하신 상태에서는. 아 지금 상한을 어떻게 해야 돼요 그럼? 네 일단 지금부터 상한 절차 안내해드리겠습니다 고객님. 네 잠시만 기다려주십시오. 네 여보세요. 네 고객님 지금 저희 쪽 채권 회수팀으로 연락 주셨고요. 네 지금 현재 지금 중도 상한 금액이. 메모 가능하신지요? 네. 2774만 3천 337원입니다. 337원이요? 네. 네. 금액 한번 불러주시겠습니까? 2774만 3천 337원. 네. 그리고 지금 담당자 OO이고요. OO이고요. OO이고요. 네. 네. 납부계좌는 지금 기업은행으로 열람 되셨고요. 네. 맞아요. 네네. 메모 가능하신지요? 네. 기업은행. 예. 네. 네 알겠습니다. 네.,627
"네. 네. 선출 나오면 제가 바로 또 전화드릴게요. 아 지금 전혀 없으셔서요? 고객님 임플란트 비용이 언제 필요하시다고 그랬죠? 설 이후니까. 아 설 이후에? 그러면 고객님이 공증서 발권이 제일 쉽고요 솔직히 말씀드리면. 네. 평점을 높이는 거예요. 고객님이 지금 이제 물론 통장 거래 내역이 지금 급여 같은 게 들어오긴 하는데 잠시만요. 제가 보면서 제가 설명을 해드릴게요. 고객님꺼 잠시만요. 끊지 마세요. 고객님 통장에 보면 지금 보면 입출금도 활성화되고 왕상하세요. 그죠? 입출금이 그대로 그대로 꾸준히 있으셔서 그것은 평점이 괜찮으신데 약간 좀 적은 돈이 들어왔다 나갔다 하시는 거잖아요. 이런 부분을 평점을 높이시려면 한 300, 500 이 정도 돈이 들어왔다 나갔다 이렇게 하잖아요. 한 번 들어왔다 한 번 나가면 만약에 100만 원 말해서 한 500만 원이 들어왔다가 500만 원 인출이 되죠. 그럼 이게 천만 원으로 계산이 돼요. 이렇게 평점을 해서 높이는 거예요 순간으로. 그렇게 해서 평점을 높이는 방법이 있어요. 고객님. 그런데 고객님이 돈이 있으셔서 고객님이 넣었다가 뺐다가 하시면 좋거든요. 그렇죠? 최고 좋은 방법. 그런데 그 돈이 있으면 사실은 임플란트 그냥 하죠. 그렇죠? 최근에 천만 원 넣었다 뺀 적이 있는데. 그런 것도 해서 평점이 올라간 거예요. 고객님. 그런 거 다 앞에서 평점이 나온 거예요. 그래서 그렇게는 고객님이 그 돈이 있으면 이미 임플란트 하셨지. 그러면 고객님... 공정비용을 저희가 내고 공정성 발권을 받은 다음에 대출을 하다가 공정성 발권을 저희가 받았어요. 그런데 대출을 진행을 안 하겠다는 고객님이 있었어요. 저희가 공정비용을 날려버린 거예요. 공정비용을 왜 내주냐면 이 고객님들이 대출을 받아서 1년, 2년, 3년, 4년 저희한테 1여를 내잖아요. 그게 소득이 있기 때문에 공정비용을 대신 납부를 해드렸는데 이거 공정발권을 받고 대출을 안 한다 해버리면 저희는 이 공정비가 둥 떠서 손실로 잡힌 거예요. 그래서 저희가 바뀐 거예요 정책이. 자부담으로 바뀌었어요. 그런데 이게 뭐가 좋냐면 고객님이 대출을 받고 나서",1049
"제가 설명을 못 드렸나? 네. 네, 아무래도 월요일날 다시 한번 연락 주셔야 될 것 같습니다. 제가 일단은 예약으로 우선으로 잡아놓을 테니까요 주말동안 고객님 쉬시면서 전화 한번 해보시고요 그리고 월요일날 9시 반에 회의가 끝나니까 9시 40분쯤에 전화를 드리겠습니다 예 오늘 수고하셨어요 네",163
"지역별로 이렇게 테스트 진행을 계약을 하게 되는데 오늘 접수를 하시게 되면 저희가 이제 수도권 기준으로 내일 테스트 결과는 보통 3시에서 4시 정도 나올 예정이고요. 그러시고 저녁에 한 7시 전에는 저희가 계약을 다 마무리할 겁니다. 제가 일단 접수를 바로 들어가겠습니다. 하나은행 지금 계좌 확인되시죠? 네. 네. 계좌번호 불러주시겠어요? 07번이요. 07번이요? 네. 제가 확인하겠습니다. 07번 맞으시죠? 네. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. Q. 다세대 빌라 호수는 없는 건가요? 네. 여기서 전화주시면 제가. 아, 네. 알겠습니다. 제가 중간에서 그렇게 잘 처리하겠습니다. 그러시고 아시다시피 우리 고객님 카드나 현금 통장같이 이런 금융 관련 물품들은 배송 금지 품목이라 저희가 카드가 아닌 것처럼 이렇게 포장을 해주셔서 기사님 통해서 저희 담당자님한테 보낼 건데요. 박스 포장으로 해서 안에 카드나 통장이나 이런 부분이 아닌 것처럼 포장을 해서 보내주셔야 돼요. 네. 무게가 너무 가볍지 않도록 의심받지 않도록 상자 안 빈 공간에 신문지를 넣으시거나 아니면 또 다른 버리실 만한 책자나 주변에 버리실 만한 물건 걸레나 옷도 좋고요. 그런 걸로 내용을 꽉 채워주시면 의심받지 않아요. 안에 일반 물품처럼 저희가 보여주기 위해서. 내용을 꽉 채워주시고 나서 박스 테이프로 상자는 막 칭칭 감아주세요. 바로 가능해요. 안받아줘요. 사무실 중에서. 그래서 대략적으로라도 일단 포장하시고 나서 저하고 통화 다시 한 번만 하겠습니다. 알겠습니다. 네네 감사합니다.",1408
